year,region,region_code,observation_value,std,ci_lower,ci_upper,region_model,calendar_year,model_value,dhdt,calendar_year_5yr,dmdt_5yr_avg_calendar,dhdt_5yr_avg_calendar,residual,rmse,residual_percentage,model_within_obs_CI,obs_rolling_avg,output_rolling_avg,residual_rolling_avg,rolling_CI_upper,rolling_CI_lower
1949,06,ISL,2.1827350206547194,2.8902002764548866,-3.4820575211968587,7.847527562506297,,,,,,,,,,,,2.1827350206547194,,,7.847527562506297,-3.4820575211968587
1950,06,ISL,-1.781480884479323,2.8876933696072533,-7.441359888909539,3.8783981199508935,,,,,,,,,,,,0.20062706808769815,,,5.862962841228595,-5.461708705053199
1951,06,ISL,-3.803819002709888,2.8902002764548866,-9.468611544561465,1.86097353914169,,,,,,,,,,,,-1.1341882888448307,,,4.5289664071996265,-6.797342984889288
1952,06,ISL,3.074053591559286,2.8902002764548866,-2.590738950292292,8.738846133410863,,,,,,,,,,,,-0.08212781874380148,,,5.581436338752436,-5.745691976240039
1953,06,ISL,-6.311131387780681,2.8902002764548866,-11.975923929632259,-0.6463388459291028,,,,,,,,,,,,-1.3279285325511774,,,4.335881301816128,-6.991738366918483
1954,06,ISL,-5.663351346002139,2.8902002764548866,-11.328143887853717,0.0014411958494386923,,,,,,,,,,,,-2.897145805882549,,,2.7666640284847563,-8.560955640249855
1955,06,ISL,-3.3973315815548757,2.8902002764548866,-9.062124123406454,2.2674609602967024,,,,,,,,,,,,-3.22031594529766,,,2.444476596553918,-8.885108487149239
1956,06,ISL,-0.8076438137283973,2.8902002764548866,-6.472436355579975,4.857148728123181,,,,,,,,,,,,-2.6210809075013612,,,3.043711634350217,-8.28587344935294
1957,06,ISL,0.9729620631551315,2.8902002764548866,-4.691830478696446,6.63775460500671,,,,,,,,,,,,-3.0412992131821928,,,2.6234933286693853,-8.706091755033771
1958,06,ISL,-0.0782828506189859,2.8902002764548866,-5.743075392470564,5.5865096912325924,,,,,,,,,,,,-1.7947295057498533,,,3.8700630361017248,-7.459522047601432
1959,06,ISL,-9.78695648229355,2.8902002764548866,-15.45174902414513,-4.122163940441973,,,,,,,,,,,,-2.6194505330081355,,,3.0453420088434426,-8.284243074859713
1960,06,ISL,-8.248991154518022,2.8902002764548866,-13.913783696369599,-2.5841986126664436,,,,,,,,,,,,-3.589782447600764,,,2.075010094250814,-9.254574989452342
1961,06,ISL,-3.636378527318194,2.8902002764548866,-9.301171069169772,2.028414014533384,,,,,,,,,,,,-4.1555293903187245,,,1.5092631515328536,-9.820321932170302
1962,06,ISL,6.397298510573,2.75676058841054,0.9940477572883415,11.800549263857658,,,,,,,,,,,,-3.0706621008351505,,,2.5418220833030425,-8.683146284973343
1963,06,ISL,-9.758043124034991,1.7620788995559964,-13.211717767164744,-6.304368480905238,,,,,,,,,,,,-5.006614155518351,,,0.16364644887547897,-10.176874759912181
1964,06,ISL,-0.48089238957570724,1.7620788995559964,-3.93456703270546,2.972782253554046,,,,,,,,,,,,-3.145401336974783,,,1.5826356876746814,-7.873438361624247
1965,06,ISL,0.6294004298490032,1.7620788995559964,-2.8242742132807495,4.083075072978756,,,,,,,,,,,,-1.3697230201013775,,,2.916090424803722,-5.655536465006477
1966,06,ISL,-7.878927468172803,1.7620788995559964,-11.332602111302556,-4.425252825043049,,,,,,,,,,,,-2.2182328082722993,,,1.625357056888435,-6.061822673433033
1967,06,ISL,4.041342475285839,1.7620788995559964,0.5876678321560864,7.495017118415593,,,,,,,,,,,,-2.6894240153297315,,,0.7642506278000214,-6.143098658459484
1968,06,ISL,0.3591594086671471,1.7620788995559964,-3.0945152344626057,3.8128340517969,,,,,,,,,,,,-0.6659835087893038,,,2.787691134340449,-4.119658151919056
1969,06,ISL,-14.104209112922073,1.7620788995559964,-17.557883756051826,-10.65053446979232,,,,,,,,,,,,-3.390646853458577,,,0.06302778967117595,-6.84432149658833
1970,06,ISL,-7.499423304632389,1.7620788995559964,-10.953097947762142,-4.0457486615026355,,,,,,,,,,,,-5.016411600354855,,,-1.5627369572251024,-8.470086243484609
1971,06,ISL,0.8113189545597785,1.7620788995559964,-2.6423556885699746,4.264993597689531,,,,,,,,,,,,-3.2783623158083386,,,0.17531232732141433,-6.7320369589380915
1972,06,ISL,-3.3152889464486988,1.7620788995559964,-6.768963589578451,0.13838569668105416,,,,,,,,,,,,-4.749688600155247,,,-1.2960139570254943,-8.203363243285
1973,06,ISL,2.7164118234459935,1.7620788995559964,-0.7372628196837594,6.170086466575746,,,,,,,,,,,,-4.278238117199477,,,-0.8245634740697239,-7.73191276032923
1974,06,ISL,0.38836980770928986,1.7620788995559964,-3.065304835420463,3.842044450839043,,,,,,,,,,,,-1.3797223330732047,,,2.0739523100565482,-4.833396976202957
1975,06,ISL,-1.2462496341482079,1.7620788995559964,-4.699924277277961,2.207425008981545,,,,,,,,,,,,-0.12908759897636854,,,3.3245870441533842,-3.5827622421061216
1976,06,ISL,-0.29342531543176953,1.7620788995559964,-3.7470999585615226,3.1602493276979833,,,,,,,,,,,,-0.35003645297467817,,,3.103638190155075,-3.803711096104431
1977,06,ISL,-6.571439773679316,1.7620788995559964,-10.02511441680907,-3.117765130549563,,,,,,,,,,,,-1.0012666184208014,,,2.4524080247089515,-4.454941261550554
1978,06,ISL,-5.239273416788438,1.7620788995559964,-8.69294805991819,-1.7855987736586854,,,,,,,,,,,,-2.5924036664676877,,,0.8612709766620652,-6.046078309597441
1979,06,ISL,-1.7672268748278281,1.7620788995559964,-5.220901517957581,1.6864477683019248,,,,,,,,,,,,-3.0235230029751117,,,0.43015164015464125,-6.477197646104864
1980,06,ISL,-10.087799006847098,1.7620788995559964,-13.54147364997685,-6.634124363717344,,,,,,,,,,,,-4.7918328775148895,,,-1.3381582343851366,-8.245507520644642
1981,06,ISL,-0.5180889789446391,1.7620788995559964,-3.971763622074392,2.9355856641851137,,,,,,,,,,,,-4.836765610217464,,,-1.383090967087711,-8.290440253347217
1982,06,ISL,-5.194374735109029,1.7620788995559964,-8.648049378238781,-1.7407000919792757,,,,,,,,,,,,-4.561352602503407,,,-1.1076779593736537,-8.01502724563316
1983,06,ISL,3.923948424601478,1.7620788995559964,0.47027378147172527,7.377623067731231,,,,,,,,,,,,-2.7287082342254223,,,0.7249664089043306,-6.182382877355176
1984,06,ISL,-1.2458084671172254,1.7620788995559964,-4.6994831102469785,2.2078661760125273,,,,,,,,,,,,-2.6244245526833017,,,0.8292500904464513,-6.078099195813055
1985,06,ISL,-5.015153227750131,1.7620788995559964,-8.468827870879885,-1.5614785846203785,,,,,,,,,,,,-1.6098953968639087,,,1.8437792462658442,-5.063570039993662
1986,06,ISL,5.02919397422915,1.173356869366253,2.729414510271294,7.328973438187006,,,,,,,,,,,,-0.5004388062291507,,,2.7224568010662225,-3.7233344135245243
1987,06,ISL,3.747399209237481,1.7620788995559964,0.2937245661077279,7.201073852367234,,,,,,,,,,,,1.2879159826401512,,,4.510811589935525,-1.9349796246552222
1988,06,ISL,-8.819027389121121,1.340192375734615,-11.445804445560967,-6.192250332681276,,,,,,,,,,,,-1.2606791801043689,,,1.796836909853023,-4.318195270061761
1989,06,ISL,8.688002283326165,1.7582419528042315,5.2418480558298715,12.134156510822459,,,,,,,,,,,,0.7260829699843093,,,3.7820949768150096,-2.329929036846391
1990,06,ISL,-6.620344382193075,1.7220554353653459,-9.995573035509153,-3.2451157288769967,,,,,,,,,,,,0.40504473909572064,,,3.445367547963686,-2.6352780697722444
1991,06,ISL,-14.208104546424188,1.373210477383664,-16.899597082096168,-11.516612010752207,,,,,,,,,,,,-3.442414965034947,,,-0.32374954182415694,-6.5610803882457365
1992,06,ISL,7.013161344713841,1.0668286824396962,4.922177127132036,9.104145562295646,,,,,,,,,,,,-2.7892625379396754,,,0.056864800161525064,-5.635389876040875
1993,06,ISL,5.687761198754075,0.9264942901145521,3.8718323901295526,7.503690007378596,,,,,,,,,,,,0.11209517963536424,,,2.7960528681735,-2.5718625089027713
1994,06,ISL,-1.3030078279111383,0.9264942901145521,-3.1189366365356603,0.5129209807133837,,,,,,,,,,,,-1.8861068426120966,,,0.4718057621516849,-4.244019447375878
1995,06,ISL,-8.600650699679065,0.9113246208994092,-10.386846956641907,-6.814454442716222,,,,,,,,,,,,-2.282168106109294,,,-0.2420619806161599,-4.322274231602428
1996,06,ISL,-10.355726937282537,0.9596769898380717,-12.236693837365157,-8.474760037199916,,,,,,,,,,,,-1.5116925842809639,,,0.36630841409429826,-3.389693582656226
1997,06,ISL,-11.563181785733892,0.9136988379939821,-13.354031508202098,-9.772332063265686,,,,,,,,,,,,-5.2269612103705105,,,-3.4089871110179684,-7.044935309723053
1998,06,ISL,-13.316459202636656,0.9013050173746663,-15.083017036691002,-11.54990136858231,,,,,,,,,,,,-9.027805290648656,,,-7.2197053862101495,-10.835905195087163
